instance_id,graph_type,n_nodes,seed,nn_tour_length,nn_runtime_s,or_tour_length,or_runtime_s,ga_tour_length,ga_runtime_s,ga_generations,nn_vs_or_gap,ga_vs_or_gap,nn_vs_ga_gap
1,random,20,100,375.9805098063271,0.0003354999999984898,365.56662076571126,10.0463651,372.39682146545687,19.8994443,1000,2.848698007165713,1.8683874051299187,0.962330539441157
2,random,20,101,473.8878310514606,0.00032099999999957163,383.24409354896954,10.0014976,427.6789388807374,19.72980979999999,1000,23.651698494058827,11.594397951521238,10.804575107592331
3,random,20,102,428.8734696359055,0.0003506999999984828,362.5392193473216,10.002242300000006,396.01712849354453,19.78239640000001,1000,18.297123938205996,9.2342862122595,8.296696980594506
4,random,20,103,489.97865972899723,0.0003473999999954458,402.82242002542057,10.001502799999997,430.0205949935038,19.801790700000012,1000,21.636392457519264,6.751901983600327,13.943068177094919
5,random,20,104,391.8366662463898,0.00031860000001415756,351.1088659061548,10.001286499999992,351.1088659061548,19.76868330000002,1000,11.599764145836424,0.0,11.599764145836424
6,random,20,105,456.902402126963,0.00035039999997366067,335.9255267306421,10.001612099999988,418.7097195800699,19.802258999999992,1000,36.013004600666974,24.64361480805455,9.121518025709348
7,random,20,106,446.5456584445122,0.000338700000014569,390.22908760961883,10.001351999999997,413.72772825072707,19.76955509999999,1000,14.431669145902285,6.02175526818135,7.932253013966909
8,random,20,107,447.7510981641927,0.0003260999999952219,379.3324526976387,10.001532499999996,384.1298813513482,19.86836360000001,1000,18.036591644082097,1.264702932636636,16.56242325877603
9,random,20,108,489.0820216582414,0.0003444999999828724,381.56026373989533,10.001991099999998,394.32376555035984,19.805470300000025,1000,28.179495648855678,3.345081504389885,24.03057192751924
10,random,20,109,424.80913653817777,0.00034610000000157015,354.3279154407929,10.00256509999997,356.2560241716618,19.823559400000022,1000,19.891523649697334,0.5441594203692114,19.242653517483728
11,random,20,110,481.81154438318794,0.0003420000000460277,424.36056390597685,10.001016600000014,426.8834685711348,19.860357099999987,1000,13.538246803239751,0.5945191141081037,12.867229550000728
12,random,20,111,479.91152807686024,0.000342399999965437,420.2378061604756,10.001022500000033,498.1533220094644,19.961722800000018,1000,14.199988920938997,18.54081539232938,-3.661883425572652
13,random,20,112,427.2949770308985,0.00033469999999624633,372.0332160194367,10.003890300000023,372.0332160194367,20.081380799999977,1000,14.853985781897148,0.0,14.853985781897148
14,random,20,113,423.4582779308789,0.0005962999999837848,358.4681227031631,10.001020600000004,370.59861064065035,19.842399999999998,1000,18.129967802334342,3.3839795421731713,14.2633204152737
15,random,20,114,403.08512425323045,0.0003229000000146698,341.760170653413,10.00089509999998,375.8717582544722,19.86226499999998,1000,17.943856208454584,9.981147755117588,7.240066698582422
16,random,20,115,420.77956620619534,0.0005015000000412329,367.1077812198141,10.000948300000005,419.9805402760629,19.930864699999972,1000,14.620170895872139,14.402516579889665,0.19025308401365398
17,random,20,116,404.4442208303465,0.00040359999997008345,309.6627275815032,10.001457300000027,318.6558999305682,19.93285739999999,1000,30.60797597085586,2.904183018506155,26.921930809525485
18,random,20,117,375.30531711054283,0.0003278000000364045,352.03944938663346,10.00089539999999,367.9989633178981,19.74612430000002,1000,6.6088808411801665,4.533444748613044,1.985427819353154
19,random,20,118,511.2209982379885,0.0003209999999853608,379.6288347569796,10.000997299999995,404.96109139057666,19.872234299999946,1000,34.66337417842562,6.672901085033117,26.239534885322197
20,random,20,119,495.4084911875897,0.00033410000003186724,390.4528219238158,10.002096400000028,390.4528219238157,19.880544600000007,1000,26.880499607261786,-2.9116664379953777e-14,26.880499607261825
21,random,20,120,404.40512092761185,0.00032309999994595273,356.7722862233884,10.00154359999999,382.8488180840826,19.80742680000003,1000,13.351046744252654,7.309012742196779,5.630500036908816
22,random,20,121,454.91711257301097,0.0003470000000334039,402.1144931215351,10.000845000000027,424.84527790883527,19.753054499999962,1000,13.131240070851371,5.652814105466733,7.078302673433176
23,random,20,122,411.65585591274817,0.0003232999999909225,356.0034573215012,10.00093359999994,376.72979138022436,19.78982570000005,1000,15.632544416833621,5.821947408787537,9.270852831830805
24,random,20,123,420.6018400585403,0.0003487999999833846,387.20615500084233,10.001670600000011,420.2860539705279,19.93148880000001,1000,8.624781560516597,8.543226532546628,0.07513599012602917
25,random,20,124,460.08992615821086,0.0003525999999283158,413.29069893332303,10.004322900000034,462.43940292385196,19.816434200000003,1000,11.32356168325918,11.892042118871439,-0.5080615429364653
26,random,20,125,391.5790534035106,0.0003490999999939959,353.2426497062088,10.000861799999939,366.1947831510299,19.889082299999927,1000,10.852710942233653,3.6666391942177405,6.931903844739219
27,random,20,126,420.3043759125188,0.0003318000000263055,352.1248726442739,10.003735799999959,352.1248726442739,19.81016520000003,1000,19.362308250551127,0.0,19.362308250551127
28,random,20,127,486.99506075050897,0.00036810000005971233,374.5743610642273,10.00146499999994,381.68328750016235,19.939359399999944,1000,30.012919028113945,1.8978678668068598,27.591402793684495
29,random,20,128,377.8303191467346,0.0003556000000344284,364.17510636609285,10.001483200000052,399.6085739380736,19.90742510000007,1000,3.7496282809936603,9.72978848706938,-5.4498967769179885
30,random,20,129,462.5453684444682,0.0003328999999894222,376.7414792567527,10.001023700000019,473.8559737686285,19.964514299999905,1000,22.775270022560843,25.77748930207161,-2.3869289299459093
